Feature,Importance
price_ratio,0.3898832176899785
price_change_pounds,0.24720705456082032
price_per_year_change,0.18602368543666642
log_price_2020,0.05323770209661928
avg_price_2025,0.051016490992882454
avg_price_2020,0.038658718685446014
log_price_2025,0.03397313053758703
