Feature,Overall_Impact,Impact_At_Risk,Impact_Gentrifying,Impact_Stable
price_ratio,0.20094730138223327,0.2020744413804939,0.22402628709343636,0.17674117567276956
price_change_pounds,0.10084090167175143,0.08990114007425903,0.08454036438872312,0.12808120055227215
price_per_year_change,0.06911605156891903,0.06466790686022464,0.06420836680786572,0.07847188103866674
avg_price_2025,0.02188667962336129,0.01833368012586032,0.023460064360965073,0.02386629438325847
log_price_2020,0.017896389283117962,0.01664725696892148,0.02157039379477291,0.01547151708565949
log_price_2025,0.017521698222236436,0.012993056942099058,0.01853115336848379,0.02104088435612646
avg_price_2020,0.015104643426385386,0.016147409388600025,0.017827418168104514,0.011339102722451614
